time_stamp,humidity,temperature,pressure,voc,pm1.0_atm,pm2.5_atm,pm10.0_atm
2024-06-26T15:03:51-06:00,21,100,908.42,484.37,0,0,0.5
2024-06-26T15:14:14-06:00,20,100,907.75,,0.025,0.24,2.645
2024-06-26T15:16:13-06:00,20,102,907.76,471.66,0.07,0.49,1.5550000000000002
2024-06-26T15:19:35-06:00,19,101,907.73,,0,0.055,2.11
2024-06-26T15:21:35-06:00,19,102,907.73,459.97,0,0.26,1.505
2024-06-26T15:23:34-06:00,19,103,907.73,472.15,0.015,0.275,1.5150000000000001
2024-06-26T15:25:35-06:00,20,99,907.71,476.91,0.035,0.2,1.105
2024-06-26T15:27:35-06:00,20,99,907.69,449.3,0.11000000000000001,0.14500000000000002,0.7050000000000001
2024-06-26T15:29:34-06:00,20,100,907.66,449.82,0,0.135,0.505
2024-06-26T15:31:36-06:00,20,100,907.58,440.39,0,0.145,1.025
2024-06-26T15:33:43-06:00,20,100,907.52,427.85,0,0.02,0.79
2024-06-26T15:35:39-06:00,19,103,907.49,438.71,0.045,0.35,0.545
2024-06-26T15:37:37-06:00,19,103,907.44,441.06,0,0.08,0.235
2024-06-26T15:39:37-06:00,18,104,907.43,440.17,0,0.13,0.935
2024-06-26T15:41:38-06:00,19,100,907.39,436.84,0.01,0.16,0.44
2024-06-26T15:43:38-06:00,20,102,907.34,424.97,0.01,0.10500000000000001,0.33499999999999996
2024-06-26T15:45:38-06:00,20,103,907.33,449.48,0.015,0.105,1.02
2024-06-26T15:47:37-06:00,19,104,907.32,456.78,0,0.025,0.28500000000000003
2024-06-26T15:49:38-06:00,21,104,907.27,462.35,0,0.07,0.575
2024-06-26T15:51:43-06:00,19,104,907.18,469.13,0,0.095,0.45999999999999996
2024-06-26T15:53:38-06:00,19,103,907.18,456.02,0.065,0.395,0.8200000000000001
2024-06-26T15:55:38-06:00,20,101,907.18,445.59,0,0.135,0.435
2024-06-26T15:57:37-06:00,18,102,907.18,430.2,0,0,0.35
2024-06-26T15:59:41-06:00,19,103,907.15,424.38,0,0.075,0.34
2024-06-26T16:01:38-06:00,20,104,907.11,438.67,0.08,0.12,0.98
2024-06-26T16:03:37-06:00,19,105,907.08,459.57,0.205,0.395,0.655
2024-06-26T16:05:37-06:00,18,106,907.03,473.3,0.07,0.23500000000000001,0.96
2024-06-26T16:07:38-06:00,18,105,907.01,462.82,0.035,0.255,0.7250000000000001
2024-06-26T16:09:40-06:00,19,104,907,456.17,0.035,0.155,0.35
2024-06-26T16:11:37-06:00,18,104,906.93,437.64,0,0.05,0.43000000000000005
2024-06-26T16:13:38-06:00,19,105,906.93,436.15,0.01,0.01,0.61
2024-06-26T16:15:37-06:00,19,106,906.9,447.84,0.11,0.205,0.975
2024-06-26T16:17:37-06:00,18,104,906.84,433.91,0.035,0.09,0.61
2024-06-26T16:19:38-06:00,19,104,906.83,424.71,0,0,0.48
2024-06-26T16:21:37-06:00,18,104,906.78,424.01,0.09999999999999999,0.29,0.88
2024-06-26T16:23:37-06:00,19,103,906.78,421.85,0.08,0.155,0.64
2024-06-26T16:25:37-06:00,18,105,906.72,413.6,0,0.04,0.28500000000000003
2024-06-26T16:27:37-06:00,19,102,906.74,415.83,0,0.165,0.2
2024-06-26T16:29:38-06:00,19,104,906.64,415.21,0,0.13,0.625
2024-06-26T16:31:39-06:00,18,104,906.58,413,0.075,0.215,0.5700000000000001
2024-06-26T16:33:42-06:00,19,103,906.56,419.11,0.045,0.115,0.64
2024-06-26T16:35:41-06:00,19,103,906.52,423.65,0.04,0.135,0.905
2024-06-26T16:37:42-06:00,20,103,906.53,423.73,0.02,0.05500000000000001,0.88
2024-06-26T16:39:41-06:00,20,102,906.49,418.08,0,0.175,0.75
2024-06-26T16:41:41-06:00,20,102,906.47,420.95,0.045,0.13,0.635
2024-06-26T16:43:42-06:00,20,102,906.48,422.2,0.025,0.22,0.79
2024-06-26T16:45:40-06:00,21,101,906.46,426.24,0.01,0.17,0.5700000000000001
2024-06-26T16:47:41-06:00,21,101,906.46,428.55,0,0.205,0.635
2024-06-26T16:49:41-06:00,21,101,906.44,437.07,0.125,0.43000000000000005,1.085
2024-06-26T16:51:41-06:00,21,101,906.4,439.9,0.045,0.175,0.635
2024-06-26T16:53:41-06:00,20,102,906.34,438.33,0.135,0.355,0.83
2024-06-26T16:55:52-06:00,19,102,906.3,416.37,0.08,0.43,1.0050000000000001
2024-06-26T16:57:41-06:00,22,100,906.24,409.67,0.035,0.1,0.49
2024-06-26T16:59:41-06:00,21,100,906.21,413.73,0.045,0.3,0.765
2024-06-26T17:01:41-06:00,21,100,906.17,407.85,0.13,0.245,0.605
2024-06-26T17:03:41-06:00,20,100,906.08,407.08,0.12,0.28,0.76
2024-06-26T17:05:41-06:00,21,99,906.06,402.31,0.07,0.35,0.6699999999999999
2024-06-26T17:07:41-06:00,20,100,906.03,401.31,0.20500000000000002,0.44,0.89
2024-06-26T17:09:41-06:00,21,98,906.01,388.95,0.28,0.39,0.61
2024-06-26T17:11:41-06:00,21,97,906,374.45,0.11,0.305,1.0350000000000001
2024-06-26T17:13:41-06:00,22,98,906.03,375.65,0.085,0.325,0.635
2024-06-26T17:15:41-06:00,22,98,906.04,406.8,0.38,0.7,1.085
2024-06-26T17:17:41-06:00,22,99,906.05,410.66,0.275,0.445,1.6
2024-06-26T17:19:41-06:00,22,99,906.01,415.03,0.95,1.3849999999999998,2
2024-06-26T17:21:41-06:00,23,99,905.99,412.44,2.46,3.255,4.17
2024-06-26T17:23:41-06:00,22,99,906,427.02,5.6899999999999995,7.01,7.789999999999999
2024-06-26T17:25:41-06:00,22,99,905.97,428.88,3.055,4.154999999999999,4.875
2024-06-26T17:27:40-06:00,20,99,905.93,408.49,0.815,1.31,1.775
2024-06-26T17:29:41-06:00,21,99,905.89,391.25,2.395,3.185,3.49
2024-06-26T17:31:41-06:00,22,99,905.87,398.36,3.785,5.015000000000001,5.995
2024-06-26T17:33:43-06:00,22,99,905.87,405.98,1.8900000000000001,2.53,3.21
2024-06-26T17:35:43-06:00,22,99,905.81,420.3,3.8899999999999997,4.8100000000000005,6.17
2024-06-26T17:37:44-06:00,22,98,905.79,429.52,2.615,3.4850000000000003,4.355
