time_stamp,humidity,temperature,pressure,voc,pm1.0_atm,pm2.5_atm,pm10.0_atm
2024-06-28T11:19:35-06:00,20,81,906.72,33.89,0,0.05,0.615
2024-06-28T11:21:30-06:00,20,80,906.73,33.89,0,0,0.22000000000000003
2024-06-28T11:23:30-06:00,21,80,906.85,34.3,0,0,0.985
2024-06-28T11:25:30-06:00,21,81,906.85,30.62,0,0,0.29500000000000004
2024-06-28T11:27:47-06:00,21,80,906.99,,0,0.18,1.7850000000000001
2024-06-28T11:29:45-06:00,21,81,906.91,25,0,0.07,1.895
2024-06-28T11:31:45-06:00,20,80,906.67,25,0,0.26,1.52
2024-06-28T11:33:45-06:00,20,81,906.9,25,0,0.08499999999999999,0.7649999999999999
2024-06-28T11:35:45-06:00,20,80,906.89,25,0,0,0.86
2024-06-28T11:37:46-06:00,20,81,906.79,25,0,0,0.51
2024-06-28T11:39:46-06:00,21,82,906.88,25,0,0,0.38
2024-06-28T11:41:46-06:00,20,83,906.92,25,0,0.185,0.7050000000000001
2024-06-28T11:43:46-06:00,19,84,906.88,25,0.115,0.175,0.8200000000000001
2024-06-28T11:45:47-06:00,18,85,907.01,25,0.095,0.355,1.24
2024-06-28T11:47:46-06:00,19,86,906.95,25,0,0,0.485
2024-06-28T11:49:45-06:00,18,86,907.07,25,0,0.015,0.52
2024-06-28T11:51:45-06:00,19,87,907.05,25,0,0,0.245
2024-06-28T11:53:47-06:00,18,83,906.83,25,0,0.11000000000000001,0.9299999999999999
2024-06-28T11:57:45-06:00,19,85,907.06,25,0,0,1.345
2024-06-28T11:59:45-06:00,18,85,907,25,0,0,0.79
2024-06-28T12:01:47-06:00,19,85,906.9,25,0,0,0.5
2024-06-28T12:03:45-06:00,19,84,907.06,25,0,0.09,0.9400000000000001
2024-06-28T12:05:45-06:00,18,86,907.08,25,0,0,0.605
2024-06-28T12:07:46-06:00,18,85,906.93,25,0,0,0.405
2024-06-28T12:09:45-06:00,19,83,906.99,25,0,0.04,1.115
2024-06-28T12:11:45-06:00,19,83,907,25,0,0.04,0.245
2024-06-28T12:13:47-06:00,20,81,907.07,25,0,0,0.32999999999999996
2024-06-28T12:15:45-06:00,20,80,907.09,25,0,0.05,1.695
2024-06-28T12:17:48-06:00,21,79,907.11,25,0,0.015,0.155
2024-06-28T12:19:45-06:00,21,81,907.21,25,0,0,0.65
2024-06-28T12:21:47-06:00,21,81,907.35,25,0,0,0.27999999999999997
2024-06-28T12:23:45-06:00,21,81,907.39,25,0,0,1
2024-06-28T12:25:45-06:00,20,83,907.07,25,0,0,0.24000000000000002
2024-06-28T12:27:47-06:00,19,84,907.22,25.17,0,0,0.19
2024-06-28T12:29:47-06:00,20,82,907.32,27.9,0,0,0.15
2024-06-28T12:31:47-06:00,19,82,907.18,27.52,0,0,1.02
2024-06-28T12:33:48-06:00,20,82,907.39,32.51,0,0.265,2.175
2024-06-28T12:35:49-06:00,20,84,907.51,27.28,0,0.015,0.5549999999999999
2024-06-28T12:37:47-06:00,20,81,907.52,24.76,0,0,1.375
2024-06-28T12:39:47-06:00,19,82,907.5,32.8,0,0.075,0.86
2024-06-28T12:41:47-06:00,20,83,907.52,27.83,0,0,0.025
2024-06-28T12:43:49-06:00,19,84,907.52,23.84,0,0,0.535
2024-06-28T12:45:47-06:00,20,83,907.58,27.24,0,0,0.5549999999999999
2024-06-28T12:47:47-06:00,20,84,907.58,25.49,0,0,0.095
2024-06-28T12:49:47-06:00,20,82,907.68,26.71,0,0,0.365
2024-06-28T12:51:47-06:00,20,81,907.68,28.13,0,0,0.135
2024-06-28T12:53:47-06:00,21,81,907.77,33.17,0,0.055,0.525
2024-06-28T12:57:50-06:00,19,84,907.66,27.13,0,0.025,0.85
2024-06-28T12:59:47-06:00,19,84,907.65,27.43,0,0,0.12
2024-06-28T13:01:47-06:00,19,84,907.61,32.37,0,0.02,0.755
2024-06-28T13:03:49-06:00,19,85,907.62,31.56,0,0.085,0.735
2024-06-28T13:05:47-06:00,19,85,907.55,23.72,0,0,0.395
2024-06-28T13:07:49-06:00,19,86,907.59,22.93,0,0,0.36
2024-06-28T13:09:47-06:00,18,86,907.56,23.46,0,0.045,0.7350000000000001
2024-06-28T13:11:47-06:00,18,86,907.7,20.48,0,0,1.345
2024-06-28T13:13:47-06:00,18,85,907.99,27.01,0,0.03,0.835
2024-06-28T13:15:47-06:00,19,84,907.81,32.84,0,0,0.345
2024-06-28T13:17:47-06:00,18,85,907.69,27.02,0.13,0.5549999999999999,2.985
2024-06-28T13:19:47-06:00,18,85,908.06,26.84,0.025,0.29500000000000004,1.3599999999999999
