time_stamp,humidity,temperature,pressure,voc,pm1.0_atm,pm2.5_atm,pm10.0_atm
2024-06-26T11:49:36-06:00,39,80,889.29,,0.515,1.175,1.41
2024-06-26T11:51:37-06:00,37,80,889.27,926.86,0.225,0.565,1.95
2024-06-26T11:53:37-06:00,37,79,889.22,920.78,0.24,0.32,0.49
2024-06-26T11:55:40-06:00,37,81,889.27,905.18,0.315,0.44499999999999995,0.5
2024-06-26T11:57:37-06:00,35,80,889.2,900.21,0.30500000000000005,0.63,0.97
2024-06-26T11:59:37-06:00,36,81,889.24,894.48,0.3,0.575,0.91
2024-06-26T12:01:38-06:00,35,82,889.19,899.19,0.07,0.18,0.34500000000000003
2024-06-26T12:03:38-06:00,34,82,889.18,905.77,0.36,0.595,0.915
2024-06-26T12:05:39-06:00,33,83,889.14,907.63,0.08,0.395,0.62
2024-06-26T12:07:40-06:00,34,83,889.11,914.08,0.135,0.21500000000000002,0.365
2024-06-26T12:09:39-06:00,33,82,889.07,914.16,0.265,0.445,1
2024-06-26T12:11:39-06:00,32,84,889.06,906.3,0.11,0.375,0.725
2024-06-26T12:13:40-06:00,32,84,889.04,914.82,0.18,0.28,0.655
2024-06-26T12:15:37-06:00,31,85,889.07,913.93,0.13,0.25,0.605
2024-06-26T12:17:37-06:00,31,84,889.04,920.09,0.42500000000000004,0.725,1.075
2024-06-26T12:19:39-06:00,30,85,889,917.33,0.265,0.54,0.97
2024-06-26T12:21:37-06:00,31,85,889,916.9,0.21000000000000002,0.45999999999999996,0.635
2024-06-26T12:23:37-06:00,31,85,888.98,910.8,0.17,0.28,0.425
2024-06-26T12:25:40-06:00,31,84,888.94,896.51,0.115,0.29,0.4
2024-06-26T12:27:40-06:00,32,84,888.86,883.4,0.33499999999999996,0.44999999999999996,0.56
2024-06-26T12:29:40-06:00,30,84,888.88,869.86,0.07,0.25,0.445
2024-06-26T12:31:37-06:00,29,85,888.81,869.89,0.15999999999999998,0.345,0.49
2024-06-26T12:33:39-06:00,29,85,888.78,880,0.35000000000000003,0.515,0.9
2024-06-26T12:35:37-06:00,30,85,888.76,871.2,0.215,0.5650000000000001,0.8049999999999999
2024-06-26T12:37:41-06:00,30,85,888.68,864,0.45499999999999996,1.0250000000000001,2.26
2024-06-26T12:39:40-06:00,29,85,888.59,863.88,0.465,0.735,0.855
2024-06-26T12:41:40-06:00,30,85,888.56,855.91,0.41000000000000003,0.575,1.165
2024-06-26T12:43:43-06:00,29,85,888.54,847.69,0.33,0.665,0.92
2024-06-26T12:45:37-06:00,30,85,888.42,846.39,0.29000000000000004,0.375,0.585
2024-06-26T12:47:40-06:00,30,85,888.45,839.48,0,0.18,0.365
2024-06-26T12:49:40-06:00,29,85,888.44,841.29,0.01,0.25,0.5900000000000001
2024-06-26T12:51:39-06:00,28,86,888.45,847.82,0.05,0.29,0.39
